,Match ID,Date,Venue,Bat First,Bat Second,Winner,Target Score,Chased,Defended
0,211028,2005-06-13,The Rose Bowl,England,Australia,England,180,No,Yes
1,211048,2005-02-17,Eden Park,Australia,New Zealand,Australia,215,No,Yes
2,222678,2005-10-21,New Wanderers Stadium,South Africa,New Zealand,New Zealand,134,Yes,No
3,225263,2006-08-28,County Ground,England,Pakistan,Pakistan,145,Yes,No
4,225271,2006-06-15,The Rose Bowl,Sri Lanka,England,Sri Lanka,164,No,Yes
5,226374,2006-01-09,Brisbane Cricket Ground,Australia,South Africa,Australia,210,No,Yes
6,238195,2006-02-24,New Wanderers Stadium,South Africa,Australia,South Africa,202,No,Yes
7,249227,2007-01-09,Sydney Cricket Ground,Australia,England,Australia,222,No,Yes
8,251487,2006-12-22,Westpac Stadium,New Zealand,Sri Lanka,Sri Lanka,45,Yes,No
9,251488,2006-12-26,Eden Park,Sri Lanka,New Zealand,New Zealand,116,Yes,No
10,255954,2006-12-01,New Wanderers Stadium,South Africa,India,India,127,Yes,No
11,258463,2007-06-28,Kennington Oval,West Indies,England,West Indies,209,No,Yes
12,258464,2007-06-29,Kennington Oval,West Indies,England,England,170,Yes,No
13,287853,2007-09-11,New Wanderers Stadium,West Indies,South Africa,South Africa,206,Yes,No
14,287854,2007-09-12,Kingsmead,Kenya,New Zealand,New Zealand,74,Yes,No
15,287855,2007-09-12,Kingsmead,Pakistan,Scotland,Pakistan,172,No,Yes
16,287856,2007-09-12,Newlands,Australia,Zimbabwe,Zimbabwe,139,Yes,No
17,287857,2007-09-13,New Wanderers Stadium,West Indies,Bangladesh,Bangladesh,165,Yes,No
18,287858,2007-09-13,Newlands,England,Zimbabwe,England,189,No,Yes
19,287860,2007-09-14,New Wanderers Stadium,Sri Lanka,Kenya,Sri Lanka,261,No,Yes
20,287861,2007-09-14,Newlands,England,Australia,Australia,136,Yes,No
21,287863,2007-09-15,New Wanderers Stadium,New Zealand,Sri Lanka,Sri Lanka,165,Yes,No
